Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C24H49S,369.2611,C25H37S,-0.1,8,19103450,JH
C24H49S,,C25H37S,-0.1,8,,JH
C24H49S,369.2645,C22H41S2,-0.1,3,2359001,JH
C24H49S,,C22H41S2,-0.1,3,,JH
C24H49S,369.355,C24H49S,-0.2,1,3141337,JH
C24H49S,,C24H49S,-0.2,1,,JH
C26H53S,397.2924,C27H41S,-0.1,8,3698956,JH
C26H53S,,C27H41S,-0.1,8,,JH
C26H53S,397.2957,C24H45S2,0,3,8085772,JH
C26H53S,,C24H45S2,0,3,,JH
C26H53S,397.3829,C29H49,-0.1,6,4165900,JH
C26H53S,,C29H49,-0.1,6,,JH
C26H53S,397.3863,C26H53S,-0.1,1,32211212,JH
C26H53S,,C26H53S,-0.1,1,,JH
C28H57S,425.3237,C29H45S,0,8,6537026,JH
C28H57S,,C29H45S,0,8,,JH
C28H57S,425.327,C26H49S2,0,3,9895746,JH
C28H57S,,C26H49S2,0,3,,JH
C28H57S,425.4176,C28H57S,0,1,27590466,JH
C28H57S,,C28H57S,0,1,,JH
C24H49S,369.261,C25H37S,0,8,31195098,RP
C24H49S,,C25H37S,0,8,,RP
C24H49S,369.2644,C22H41S2,0,3,11681755,RP
C24H49S,,C22H41S2,0,3,,RP
C24H49S,369.3516,C27H45,0,6,26378202,RP
C24H49S,,C27H45,0,6,,RP
C24H49S,369.355,C24H49S,0,1,3043290,RP
C24H49S,,C24H49S,0,1,,RP
C26H53S,257.2264,C19H29,-0.1,6,2031463,RP
C26H53S,,C19H29,-0.1,6,,RP
C26H53S,363.308,C24H43S,0,4,1953303,RP
C26H53S,,C24H43S,0,4,,RP
C26H53S,397.2923,C27H41S,0,8,7921518,RP
C26H53S,,C27H41S,0,8,,RP
C26H53S,397.2957,C24H45S2,0,3,9731950,RP
C26H53S,,C24H45S2,0,3,,RP
C26H53S,397.3829,C29H49,0,6,17334128,RP
C26H53S,,C29H49,0,6,,RP
C28H57S,341.2297,C23H33S,0,8,8470482,RP
C28H57S,,C23H33S,0,8,,RP
C28H57S,355.2454,C24H35S,0,8,3571753,RP
C28H57S,,C24H35S,0,8,,RP
C28H57S,391.2488,C24H39S2,-0.1,6,2480285,RP
C28H57S,,C24H39S2,-0.1,6,,RP
C28H57S,425.2331,C27H37S2,0,10,4284531,RP
C28H57S,,C27H37S2,0,10,,RP
C28H57S,425.2365,C24H41S3,0,5,6979699,RP
C28H57S,,C24H41S3,0,5,,RP
C28H57S,425.3236,C29H45S,0,8,34603124,RP
C28H57S,,C29H45S,0,8,,RP
C28H57S,425.327,C26H49S2,0,3,42336372,RP
C28H57S,,C26H49S2,0,3,,RP
C28H57S,425.4142,C31H53,0,6,2674802,RP
C28H57S,,C31H53,0,6,,RP
C28H57S,425.4175,C28H57S,0.1,1,10715250,RP
C28H57S,,C28H57S,0.1,1,,RP
C28H57S,426.1504,C25H30S3,0,11.5,2639985,RP
C28H57S,,C25H30S3,0,11.5,,RP
