Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C40H66S2,485.327,C31H49S2,0.1,8,4071965,RP
C40H66S2,,C31H49S2,0.1,8,,RP
C40H66S2,543.4958,C37H67S,0,5,7569633,RP
C40H66S2,,C37H67S,0,5,,RP
C40H66S2,577.4835,C37H69S2,0.1,4,60555396,RP
C40H66S2,,C37H69S2,0.1,4,,RP
C40H66S2,595.4365,C39H63S2,0.1,9,4071528,RP
C40H66S2,,C39H63S2,0.1,9,,RP
C40H66S2,610.2789,C36H50S4,0.1,12.5,8896590,RP
C40H66S2,,C36H50S4,0.1,12.5,,RP
C40H66S2,610.3695,C38H58S3,0.1,10.5,15138894,RP
C40H66S2,,C38H58S3,0.1,10.5,,RP
C40H66S2,610.46,C40H66S2,0.1,8.5,20578382,RP
C40H66S2,,C40H66S2,0.1,8.5,,RP
C40H70S2,419.2801,C26H43S2,0,6,2074549,RP
C40H70S2,,C26H43S2,0,6,,RP
C40H70S2,433.2957,C27H45S2,0,6,2443200,RP
C40H70S2,,C27H45S2,0,6,,RP
C40H70S2,461.327,C29H49S2,0,6,2297814,RP
C40H70S2,,C29H49S2,0,6,,RP
C40H70S2,475.3427,C30H51S2,0,6,2256861,RP
C40H70S2,,C30H51S2,0,6,,RP
C40H70S2,481.3896,C30H57S2,0.1,3,3416031,RP
C40H70S2,,C30H57S2,0.1,3,,RP
C40H70S2,489.3583,C31H53S2,0,6,9387999,RP
C40H70S2,,C31H53S2,0,6,,RP
C40H70S2,503.374,C32H55S2,0,6,1974233,RP
C40H70S2,,C32H55S2,0,6,,RP
C40H70S2,543.4053,C35H59S2,0,7,7053192,RP
C40H70S2,,C35H59S2,0,7,,RP
C40H70S2,571.4365,C37H63S2,0,7,2359044,RP
C40H70S2,,C37H63S2,0,7,,RP
C40H70S2,581.4208,C38H61S2,0.1,9,2539212,RP
C40H70S2,,C38H61S2,0.1,9,,RP
