,S,DBE,INT,OIL
OIL.RP:,1,3,31401646.96,RP
OIL.RP:,1,4,17634859.64,RP
OIL.RP:,1,5,31990772.58,RP
OIL.RP:,1,6,26526811.64,RP
OIL.RP:,1,7,30133195.94,RP
OIL.RP:,1,8,17893731.29,RP
OIL.RP:,1,9,12919744.09,RP
OIL.RP:,1,10,11485236.25,RP
OIL.RP:,1,11,8059012.47,RP
OIL.RP:,1,12,5241883.72,RP
OIL.RP:,1,13,3346341.89,RP
OIL.RP:,1,14,1749506.41,RP
OIL.RP:,1,15,2369864.85,RP
OIL.RP:,1,16,0,RP
OIL.RP:,1,17,0,RP
OIL.RP:,1,1,15138866.23,RP
OIL.RP:,1,2,9373186.93,RP
OIL.RP:,1,3,9537315.23,RP
OIL.RP:,1,4,9139308.42,RP
OIL.RP:,1,5,13901296.83,RP
OIL.RP:,1,6,11087258.61,RP
OIL.RP:,1,7,6145450.73,RP
OIL.RP:,1,8,4961145.32,RP
OIL.RP:,1,9,3099759.16,RP
OIL.RP:,1,10,1789053.77,RP
OIL.RP:,1,11,0,RP
OIL.RP:,1,12,0,RP
OIL.RP:,2,1,0,RP
OIL.RP:,2,2,47284864.02,RP
OIL.RP:,2,3,31261973.55,RP
OIL.RP:,2,4,160138479.8,RP
OIL.RP:,2,5,94761336.07,RP
OIL.RP:,2,6,162872286.8,RP
OIL.RP:,2,7,88150510.98,RP
OIL.RP:,2,8,93396651.4,RP
OIL.RP:,2,9,57723905.26,RP
OIL.RP:,2,10,45491701.85,RP
OIL.RP:,2,11,25851196.93,RP
OIL.RP:,2,12,19152590.8,RP
OIL.RP:,2,13,14153425.02,RP
OIL.RP:,2,14,6341670.94,RP
OIL.RP:,2,15,5056341.33,RP
OIL.RP:,2,16,3157215.07,RP
OIL.RP:,2,17,0,RP
OIL.RP:,2,18,0,RP
OIL.RP:,2,19,0,RP
OIL.RP:,2,2,5915850.33,RP
OIL.RP:,2,3,8032314.39,RP
OIL.RP:,2,4,22318669.53,RP
OIL.RP:,2,5,22715913.88,RP
OIL.RP:,2,6,28047491.41,RP
OIL.RP:,2,7,20946156.69,RP
OIL.RP:,2,8,16196642.39,RP
OIL.RP:,2,9,11084276.77,RP
OIL.RP:,2,10,6238631.08,RP
OIL.RP:,2,11,3149724.01,RP
OIL.RP:,2,12,1940735.35,RP
OIL.RP:,2,13,0,RP
OIL.RP:,3,2,0,RP
OIL.RP:,3,3,35635833.39,RP
OIL.RP:,3,4,42706083.04,RP
OIL.RP:,3,5,221743782.2,RP
OIL.RP:,3,6,128431625.1,RP
OIL.RP:,3,7,242354277.7,RP
OIL.RP:,3,8,117303820.5,RP
OIL.RP:,3,9,143641036,RP
OIL.RP:,3,10,76220937.33,RP
OIL.RP:,3,11,68643848.59,RP
OIL.RP:,3,12,42034328.55,RP
OIL.RP:,3,13,30440399.58,RP
OIL.RP:,3,14,17591628.38,RP
OIL.RP:,3,15,8842591.09,RP
OIL.RP:,3,16,6306064.53,RP
OIL.RP:,3,17,3104050.01,RP
OIL.RP:,3,18,0,RP
OIL.RP:,3,19,1885904.53,RP
OIL.RP:,3,2,0,RP
OIL.RP:,3,3,4917409.99,RP
OIL.RP:,3,4,10871946.4,RP
OIL.RP:,3,5,41069131.85,RP
OIL.RP:,3,6,30298981.39,RP
OIL.RP:,3,7,44802275.12,RP
OIL.RP:,3,8,27565656.01,RP
OIL.RP:,3,9,19831374.24,RP
OIL.RP:,3,10,13137983.75,RP
OIL.RP:,3,11,8318394.32,RP
OIL.RP:,3,12,3255453.18,RP
OIL.RP:,3,13,2154769.66,RP
OIL.RP:,3,14,1824226.6,RP
OIL.RP:,4,4,23382814.87,RP
OIL.RP:,4,5,27837053.47,RP
OIL.RP:,4,6,102584894.6,RP
OIL.RP:,4,7,58587516.04,RP
OIL.RP:,4,8,113416820.4,RP
OIL.RP:,4,9,63656232.96,RP
OIL.RP:,4,10,103089571.7,RP
OIL.RP:,4,11,47238997.96,RP
OIL.RP:,4,12,53372686.15,RP
OIL.RP:,4,13,31273643.02,RP
OIL.RP:,4,14,23313583.92,RP
OIL.RP:,4,15,16601606.31,RP
OIL.RP:,4,16,10885432.22,RP
OIL.RP:,4,17,5194918.76,RP
OIL.RP:,4,18,3173387.2,RP
OIL.RP:,4,19,0,RP
OIL.RP:,4,4,2163619.83,RP
OIL.RP:,4,5,7021269.33,RP
OIL.RP:,4,6,26236748.89,RP
OIL.RP:,4,7,18476118.93,RP
OIL.RP:,4,8,24594543.42,RP
OIL.RP:,4,9,13402435.65,RP
OIL.RP:,4,10,11362911.4,RP
OIL.RP:,4,11,6761847.22,RP
OIL.RP:,4,12,3566660.06,RP
OIL.RP:,4,13,2653181.5,RP
OIL.RP:,4,14,1991505.47,RP
OIL.RP:,4,15,0,RP
OIL.RP:,5,5,9755490.28,RP
OIL.RP:,5,6,12044216.27,RP
OIL.RP:,5,7,29678846.92,RP
OIL.RP:,5,8,16123706.96,RP
OIL.RP:,5,9,28332870.77,RP
OIL.RP:,5,10,17832820.65,RP
OIL.RP:,5,11,26381844.83,RP
OIL.RP:,5,12,18411208.06,RP
OIL.RP:,5,13,21906323.4,RP
OIL.RP:,5,14,12181502.16,RP
OIL.RP:,5,15,11842605.53,RP
OIL.RP:,5,16,6011938.15,RP
OIL.RP:,5,17,5238336.99,RP
OIL.RP:,5,18,2361265.86,RP
OIL.RP:,5,19,3110281.87,RP
OIL.RP:,5,20,2031844.56,RP
OIL.RP:,5,21,0,RP
OIL.RP:,6,6,3273098.91,RP
OIL.RP:,6,7,3225924.04,RP
OIL.RP:,6,8,3585753.08,RP
OIL.RP:,6,9,2905826.81,RP
OIL.RP:,6,10,5224097.92,RP
OIL.RP:,6,11,2749707.67,RP
OIL.RP:,6,12,4665427.61,RP
OIL.RP:,6,13,3711257.08,RP
OIL.RP:,6,14,3740974.01,RP
OIL.RP:,6,15,2743449.47,RP
OIL.RP:,6,16,2907515.55,RP
OIL.RP:,6,17,2367352.73,RP
OIL.RP:,6,18,2550090.51,RP
OIL.RP:,6,19,0,RP
OIL.RP:,6,20,0,RP
OIL.JH:,1,1,7801962.45,JH
OIL.JH:,1,2,6987659.58,JH
OIL.JH:,1,3,87994755.94,JH
OIL.JH:,1,4,35396439.84,JH
OIL.JH:,1,5,77646212.73,JH
OIL.JH:,1,6,40609413.14,JH
OIL.JH:,1,7,37194243.69,JH
OIL.JH:,1,8,23842913.69,JH
OIL.JH:,1,9,16752915.59,JH
OIL.JH:,1,10,11919771.32,JH
OIL.JH:,1,11,15719312.61,JH
OIL.JH:,1,12,6259260.65,JH
OIL.JH:,1,13,4937833.85,JH
OIL.JH:,1,14,2885900.73,JH
OIL.JH:,1,15,2062893.21,JH
OIL.JH:,1,1,28814956.6,JH
OIL.JH:,1,2,13501230.46,JH
OIL.JH:,1,3,21162180.14,JH
OIL.JH:,1,4,9996591.67,JH
OIL.JH:,1,5,17359089.22,JH
OIL.JH:,1,6,7867007.24,JH
OIL.JH:,1,7,7065673.89,JH
OIL.JH:,1,8,4782491.26,JH
OIL.JH:,1,9,2994067.71,JH
OIL.JH:,1,10,2094388.54,JH
OIL.JH:,1,11,0,JH
OIL.JH:,1,12,0,JH
OIL.JH:,1,13,0,JH
OIL.JH:,2,2,41816358.85,JH
OIL.JH:,2,3,46019648.33,JH
OIL.JH:,2,4,299789673.3,JH
OIL.JH:,2,5,162058180.7,JH
OIL.JH:,2,6,341321408.1,JH
OIL.JH:,2,7,133034395,JH
OIL.JH:,2,8,138894858.6,JH
OIL.JH:,2,9,74563893.43,JH
OIL.JH:,2,10,63291829.05,JH
OIL.JH:,2,11,34819658.61,JH
OIL.JH:,2,12,26585758.6,JH
OIL.JH:,2,13,16746238.02,JH
OIL.JH:,2,14,12809359.22,JH
OIL.JH:,2,15,5288625.89,JH
OIL.JH:,2,16,3595123.87,JH
OIL.JH:,2,17,3145135.71,JH
OIL.JH:,2,2,3689649.68,JH
OIL.JH:,2,3,5315471.91,JH
OIL.JH:,2,4,22509712.41,JH
OIL.JH:,2,5,22385595.56,JH
OIL.JH:,2,6,35675854.28,JH
OIL.JH:,2,7,23697364.13,JH
OIL.JH:,2,8,16694567.44,JH
OIL.JH:,2,9,8441095.32,JH
OIL.JH:,2,10,6240433.13,JH
OIL.JH:,2,11,3938003.12,JH
OIL.JH:,2,12,3068859.37,JH
OIL.JH:,2,13,2087499.19,JH
OIL.JH:,3,3,18769752.66,JH
OIL.JH:,3,4,39871363.5,JH
OIL.JH:,3,5,278649892.4,JH
OIL.JH:,3,6,155153157.6,JH
OIL.JH:,3,7,333232821.8,JH
OIL.JH:,3,8,163273889.5,JH
OIL.JH:,3,9,200155449.4,JH
OIL.JH:,3,10,91252372.03,JH
OIL.JH:,3,11,79785626.4,JH
OIL.JH:,3,12,47552792.18,JH
OIL.JH:,3,13,31234090.98,JH
OIL.JH:,3,14,16918145.8,JH
OIL.JH:,3,15,10295512.61,JH
OIL.JH:,3,16,7236212.1,JH
OIL.JH:,3,17,3330148.15,JH
OIL.JH:,3,18,2203856.75,JH
OIL.JH:,3,3,0,JH
OIL.JH:,3,4,5173754.75,JH
OIL.JH:,3,5,23368901.07,JH
OIL.JH:,3,6,21824917.13,JH
OIL.JH:,3,7,32002259.64,JH
OIL.JH:,3,8,22295091.5,JH
OIL.JH:,3,9,18209997.9,JH
OIL.JH:,3,10,10691997.84,JH
OIL.JH:,3,11,6962818.68,JH
OIL.JH:,3,12,4913189.87,JH
OIL.JH:,3,13,3017410.17,JH
OIL.JH:,3,14,1842042.32,JH
OIL.JH:,3,15,0,JH
OIL.JH:,3,16,0,JH
OIL.JH:,3,17,0,JH
OIL.JH:,3,18,0,JH
OIL.JH:,3,19,0,JH
OIL.JH:,3,20,0,JH
OIL.JH:,3,21,0,JH
OIL.JH:,3,22,0,JH
OIL.JH:,3,23,0,JH
OIL.JH:,3,24,0,JH
OIL.JH:,3,25,0,JH
OIL.JH:,3,26,0,JH
OIL.JH:,3,27,0,JH
OIL.JH:,3,28,0,JH
OIL.JH:,3,29,0,JH
OIL.JH:,3,30,0,JH
OIL.JH:,3,31,0,JH
OIL.JH:,3,32,0,JH
OIL.JH:,3,33,0,JH
OIL.JH:,3,34,0,JH
OIL.JH:,3,35,0,JH
OIL.JH:,3,36,0,JH
OIL.JH:,3,37,0,JH
OIL.JH:,3,38,0,JH
OIL.JH:,3,39,0,JH
OIL.JH:,4,4,6937442.52,JH
OIL.JH:,4,5,14655753.44,JH
OIL.JH:,4,6,76722488.7,JH
OIL.JH:,4,7,42312662.31,JH
OIL.JH:,4,8,89141298.3,JH
OIL.JH:,4,9,54918840.43,JH
OIL.JH:,4,10,87215057.91,JH
OIL.JH:,4,11,42790073.94,JH
OIL.JH:,4,12,43502005.79,JH
OIL.JH:,4,13,24413285.69,JH
OIL.JH:,4,14,15778473.13,JH
OIL.JH:,4,15,10868852.74,JH
OIL.JH:,4,16,5907981.26,JH
OIL.JH:,4,17,3536589.83,JH
OIL.JH:,4,18,0,JH
OIL.JH:,5,6,4179802.09,JH
OIL.JH:,5,7,13503712.21,JH
OIL.JH:,5,8,5838812.41,JH
OIL.JH:,5,9,10929586.98,JH
OIL.JH:,5,10,6874684.57,JH
OIL.JH:,5,11,10687138.76,JH
OIL.JH:,5,12,7029236.43,JH
OIL.JH:,5,13,7733010.46,JH
OIL.JH:,5,14,6036314.54,JH
OIL.JH:,5,15,5333973.39,JH
OIL.JH:,5,16,3033225.54,JH
OIL.JH:,5,17,0,JH
OIL.JH:,5,18,0,JH
OIL.JH:,5,19,0,JH
OIL.JH:,5,20,0,JH
OIL.JH:,5,21,0,JH
OIL.JH:,5,22,0,JH
OIL.JH:,5,23,0,JH
OIL.JH:,5,24,0,JH
OIL.JH:,5,25,0,JH
OIL.JH:,5,26,0,JH
OIL.JH:,5,27,0,JH
OIL.JH:,5,28,0,JH
OIL.JH:,5,29,0,JH
OIL.JH:,5,30,0,JH
OIL.JH:,5,31,0,JH
OIL.JH:,5,32,0,JH
OIL.JH:,5,33,0,JH
OIL.JH:,5,34,0,JH
OIL.JH:,5,35,0,JH
