Oil,S,DBE,RMI,RMI2
RP,S1•,1,0.12,2.31
RP,S1•,2,0.09,1.78
RP,S1•,3,0.76,15
RP,S1•,4,0.43,8.43
RP,S1•,5,0.77,15.28
RP,S1•,6,0.64,12.67
RP,S1•,7,0.73,14.4
RP,S1•,8,0.43,8.55
RP,S1•,9,0.31,6.17
RP,S1•,10,0.28,5.49
RP,S1•,11,0.2,3.85
RP,S1•,12,0.13,2.5
RP,S1•,13,0.08,1.6
RP,S1•,14,0.04,0.84
RP,S1•,15,0.06,1.13
RP,S1•,16,0,0
RP,S1•,17,0,0
RP,S2•,1,0,0
RP,S2•,2,1.14,5.53
RP,S2•,3,0.76,3.66
RP,S2•,4,3.88,18.73
RP,S2•,5,2.29,11.09
RP,S2•,6,3.94,19.05
RP,S2•,7,2.13,10.31
RP,S2•,8,2.26,10.93
RP,S2•,9,1.4,6.75
RP,S2•,10,1.1,5.32
RP,S2•,11,0.63,3.02
RP,S2•,12,0.46,2.24
RP,S2•,13,0.34,1.66
RP,S2•,14,0.15,0.74
RP,S2•,15,0.12,0.59
RP,S2•,16,0.08,0.37
RP,S2•,17,0,0
RP,S2•,18,0,0
RP,S2•,19,0,0
RP,S3•,2,0,0
RP,S3•,3,0.86,3
RP,S3•,4,1.03,3.6
RP,S3•,5,5.37,18.68
RP,S3•,6,3.11,10.82
RP,S3•,7,5.87,20.42
RP,S3•,8,2.84,9.88
RP,S3•,9,3.48,12.1
RP,S3•,10,1.85,6.42
RP,S3•,11,1.66,5.78
RP,S3•,12,1.02,3.54
RP,S3•,13,0.74,2.56
RP,S3•,14,0.43,1.48
RP,S3•,15,0.21,0.75
RP,S3•,16,0.15,0.53
RP,S3•,17,0.08,0.26
RP,S3•,18,0,0
RP,S3•,19,0.05,0.16
RP,S4•,4,0.57,3.42
RP,S4•,5,0.67,4.07
RP,S4•,6,2.48,15.01
RP,S4•,7,1.42,8.57
RP,S4•,8,2.75,16.59
RP,S4•,9,1.54,9.31
RP,S4•,10,2.5,15.08
RP,S4•,11,1.14,6.91
RP,S4•,12,1.29,7.81
RP,S4•,13,0.76,4.57
RP,S4•,14,0.56,3.41
RP,S4•,15,0.4,2.43
RP,S4•,16,0.26,1.59
RP,S4•,17,0.13,0.76
RP,S4•,18,0.08,0.46
RP,S4•,19,0,0
RP,S5•,5,0.24,4.37
RP,S5•,6,0.29,5.4
RP,S5•,7,0.72,13.29
RP,S5•,8,0.39,7.22
RP,S5•,9,0.69,12.69
RP,S5•,10,0.43,7.99
RP,S5•,11,0.64,11.82
RP,S5•,12,0.45,8.25
RP,S5•,13,0.53,9.81
RP,S5•,14,0.29,5.46
RP,S5•,15,0.29,5.3
RP,S5•,16,0.15,2.69
RP,S5•,17,0.13,2.35
RP,S5•,18,0.06,1.06
RP,S5•,19,0.08,1.39
RP,S5•,20,0.05,0.91
RP,S5•,21,0,0
JH,S1•,1,0.17,2.06
JH,S1•,2,0.15,1.85
JH,S1•,3,1.87,23.28
JH,S1•,4,0.75,9.36
JH,S1•,5,1.65,20.54
JH,S1•,6,0.86,10.74
JH,S1•,7,0.79,9.84
JH,S1•,8,0.51,6.31
JH,S1•,9,0.36,4.43
JH,S1•,10,0.25,3.15
JH,S1•,11,0.33,4.16
JH,S1•,12,0.13,1.66
JH,S1•,13,0.1,1.31
JH,S1•,14,0.06,0.76
JH,S1•,15,0.04,0.55
JH,S2•,2,0.89,2.98
JH,S2•,3,0.98,3.28
JH,S2•,4,6.36,21.36
JH,S2•,5,3.44,11.54
JH,S2•,6,7.25,24.31
JH,S2•,7,2.82,9.48
JH,S2•,8,2.95,9.89
JH,S2•,9,1.58,5.31
JH,S2•,10,1.34,4.51
JH,S2•,11,0.74,2.48
JH,S2•,12,0.56,1.89
JH,S2•,13,0.36,1.19
JH,S2•,14,0.27,0.91
JH,S2•,15,0.11,0.38
JH,S2•,16,0.08,0.26
JH,S2•,17,0.07,0.22
JH,S3•,3,0.4,1.27
JH,S3•,4,0.85,2.7
JH,S3•,5,5.92,18.84
JH,S3•,6,3.29,10.49
JH,S3•,7,7.07,22.53
JH,S3•,8,3.47,11.04
JH,S3•,9,4.25,13.53
JH,S3•,10,1.94,6.17
JH,S3•,11,1.69,5.39
JH,S3•,12,1.01,3.22
JH,S3•,13,0.66,2.11
JH,S3•,14,0.36,1.14
JH,S3•,15,0.22,0.7
JH,S3•,16,0.15,0.49
JH,S3•,17,0.07,0.23
JH,S3•,18,0.05,0.15
JH,S4•,4,0.15,1.34
JH,S4•,5,0.31,2.83
JH,S4•,6,1.63,14.79
JH,S4•,7,0.9,8.16
JH,S4•,8,1.89,17.19
JH,S4•,9,1.17,10.59
JH,S4•,10,1.85,16.81
JH,S4•,11,0.91,8.25
JH,S4•,12,0.92,8.39
JH,S4•,13,0.52,4.71
JH,S4•,14,0.33,3.04
JH,S4•,15,0.23,2.1
JH,S4•,16,0.13,1.14
JH,S4•,17,0.08,0.68
JH,S4•,18,0,0
JH,S5•,6,0.09,5.15
JH,S5•,7,0.29,16.63
JH,S5•,8,0.12,7.19
JH,S5•,9,0.23,13.46
JH,S5•,10,0.15,8.47
JH,S5•,11,0.23,13.16
JH,S5•,12,0.15,8.66
JH,S5•,13,0.16,9.53
JH,S5•,14,0.13,7.44
JH,S5•,15,0.11,6.57
JH,S5•,16,0.06,3.74
JH,S5•,17,0,0
JH,S5•,18,0,0
JH,S5•,19,0,0
JH,S5•,20,0,0
JH,S5•,21,0,0
JH,S5•,22,0,0
JH,S5•,23,0,0
JH,S5•,24,0,0
JH,S5•,25,0,0
JH,S5•,26,0,0
JH,S5•,27,0,0
JH,S5•,28,0,0
JH,S5•,29,0,0
JH,S5•,30,0,0
JH,S5•,31,0,0
JH,S5•,32,0,0
JH,S5•,33,0,0
JH,S5•,34,0,0
JH,S5•,35,0,0
JH,S5•,36,0,0
JH,S5•,37,0,0
JH,S5•,38,0,0
JH,S5•,39,0,0
JH,S5•,40,0,0
JH,S5•,41,0,0
JH,S5•,42,0,0
