Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C27H46S,247.1515,C16H23S,0.1,6,1721253,RP
C27H46S,,C16H23S,0.1,6,,RP
C27H46S,262.175,C17H26S,0,5.5,1988539,RP
C27H46S,,C17H26S,0,5.5,,RP
C27H46S,289.1984,C19H29S,0,6,2711553,RP
C27H46S,,C19H29S,0,6,,RP
C27H46S,318.2375,C21H34S,0.1,5.5,2402420,RP
C27H46S,,C21H34S,0.1,5.5,,RP
C27H46S,331.1549,C20H27S2,-0.1,8,1919144,RP
C27H46S,,C20H27S2,-0.1,8,,RP
C27H46S,331.2454,C22H35S,0.1,6,16629929,RP
C27H46S,,C22H35S,0.1,6,,RP
C27H46S,345.08,C19H21S3,0,10,1986780,RP
C27H46S,,C19H21S3,0,10,,RP
C27H46S,345.2611,C23H37S,0,6,3170524,RP
C27H46S,,C23H37S,0,6,,RP
C27H46S,353.3203,C26H41,0,7,2517237,RP
C27H46S,,C26H41,0,7,,RP
C27H46S,359.2767,C24H39S,0,6,3809541,RP
C27H46S,,C24H39S,0,6,,RP
C27H46S,369.3516,C27H45,0,6,3027223,RP
C27H46S,,C27H45,0,6,,RP
C27H46S,387.308,C26H43S,0,6,19579166,RP
C27H46S,,C26H43S,0,6,,RP
C27H46S,402.1504,C23H30S3,0.1,9.5,4555024,RP
C27H46S,,C23H30S3,0.1,9.5,,RP
C27H46S,402.2409,C25H38S2,0,7.5,9330959,RP
C27H46S,,C25H38S2,0,7.5,,RP
C27H46S,402.3315,C27H46S,0,5.5,22348048,RP
C27H46S,,C27H46S,0,5.5,,RP
C28H48S,191.0889,C12H15S,0,6,1733827,RP
C28H48S,,C12H15S,0,6,,RP
C28H48S,247.1515,C16H23S,0,6,1843252,RP
C28H48S,,C16H23S,0,6,,RP
C28H48S,289.1985,C19H29S,0,6,2930702,RP
C28H48S,,C19H29S,0,6,,RP
C28H48S,317.2297,C21H33S,0,6,3745657,RP
C28H48S,,C21H33S,0,6,,RP
C28H48S,318.2376,C21H34S,0,5.5,2076531,RP
C28H48S,,C21H34S,0,5.5,,RP
C28H48S,331.2454,C22H35S,0.1,6,9690925,RP
C28H48S,,C22H35S,0.1,6,,RP
C28H48S,345.2611,C23H37S,0,6,9109238,RP
C28H48S,,C23H37S,0,6,,RP
C28H48S,359.0956,C20H23S3,0,10,2268901,RP
C28H48S,,C20H23S3,0,10,,RP
C28H48S,359.1862,C22H31S2,0,8,2324197,RP
C28H48S,,C22H31S2,0,8,,RP
C28H48S,359.2767,C24H39S,0,6,1783525,RP
C28H48S,,C24H39S,0,6,,RP
C28H48S,367.3359,C27H43,0,7,3059442,RP
C28H48S,,C27H43,0,7,,RP
C28H48S,373.1113,C21H25S3,0.1,10,2674440,RP
C28H48S,,C21H25S3,0.1,10,,RP
C28H48S,373.2018,C23H33S2,0,8,2246408,RP
C28H48S,,C23H33S2,0,8,,RP
C28H48S,373.2924,C25H41S,0,6,4304649,RP
C28H48S,,C25H41S,0,6,,RP
C28H48S,383.3672,C28H47,0.1,6,3518282,RP
C28H48S,,C28H47,0.1,6,,RP
C28H48S,387.1269,C22H27S3,0.1,10,2346858,RP
C28H48S,,C22H27S3,0.1,10,,RP
C28H48S,387.2175,C24H35S2,-0.1,8,2396010,RP
C28H48S,,C24H35S2,-0.1,8,,RP
C28H48S,401.2331,C25H37S2,0,8,2115577,RP
C28H48S,,C25H37S2,0,8,,RP
C28H48S,401.3236,C27H45S,0.1,6,21823482,RP
C28H48S,,C27H45S,0.1,6,,RP
C28H48S,416.1661,C24H32S3,0,9.5,5865637,RP
C28H48S,,C24H32S3,0,9.5,,RP
C28H48S,416.2566,C26H40S2,0.1,7.5,10338470,RP
C28H48S,,C26H40S2,0.1,7.5,,RP
C28H48S,416.3471,C28H48S,0.1,5.5,20938918,RP
C28H48S,,C28H48S,0.1,5.5,,RP
C29H50S,,C16H23S,0,6,,RP
C29H50S,262.175,C17H26S,0,5.5,1899322,RP
C29H50S,,C17H26S,0,5.5,,RP
C29H50S,289.1985,C19H29S,0,6,2938672,RP
C29H50S,,C19H29S,0,6,,RP
C29H50S,317.2297,C21H33S,0,6,3790692,RP
C29H50S,,C21H33S,0,6,,RP
C29H50S,331.2454,C22H35S,0,6,8101761,RP
C29H50S,,C22H35S,0,6,,RP
C29H50S,345.2611,C23H37S,0,6,16318356,RP
C29H50S,,C23H37S,0,6,,RP
C29H50S,359.1862,C22H31S2,0,8,2596754,RP
C29H50S,,C22H31S2,0,8,,RP
C29H50S,359.2767,C24H39S,0,6,4919186,RP
C29H50S,,C24H39S,0,6,,RP
C29H50S,373.1113,C21H25S3,0,10,3080051,RP
C29H50S,,C21H25S3,0,10,,RP
C29H50S,373.2018,C23H33S2,0,8,3796851,RP
C29H50S,,C23H33S2,0,8,,RP
C29H50S,381.3516,C28H45,0,7,5832528,RP
C29H50S,,C28H45,0,7,,RP
C29H50S,387.1269,C22H27S3,0,10,2379569,RP
C29H50S,,C22H27S3,0,10,,RP
C29H50S,387.2175,C24H35S2,0,8,1924912,RP
C29H50S,,C24H35S2,0,8,,RP
C29H50S,387.308,C26H43S,0,6,7749424,RP
C29H50S,,C26H43S,0,6,,RP
C29H50S,397.3829,C29H49,0,6,4239090,RP
C29H50S,,C29H49,0,6,,RP
C29H50S,401.3236,C27H45S,0,6,4107991,RP
C29H50S,,C27H45S,0,6,,RP
C29H50S,415.2488,C26H39S2,0,8,3387002,RP
C29H50S,,C26H39S2,0,8,,RP
C29H50S,415.3393,C28H47S,0,6,30408314,RP
C29H50S,,C28H47S,0,6,,RP
C29H50S,430.1817,C25H34S3,0,9.5,2698786,RP
C29H50S,,C25H34S3,0,9.5,,RP
C29H50S,430.2722,C27H42S2,0.1,7.5,4328994,RP
C29H50S,,C27H42S2,0.1,7.5,,RP
C29H50S,430.3628,C29H50S,0,5.5,9616929,RP
C29H50S,,C29H50S,0,5.5,,RP
C30H52S,261.1672,C17H25S,0,6,3117092,RP
C30H52S,,C17H25S,0,6,,RP
C30H52S,303.2141,C20H31S,0,6,1931312,RP
C30H52S,,C20H31S,0,6,,RP
C30H52S,345.261,C23H37S,0,6,4067340,RP
C30H52S,,C23H37S,0,6,,RP
C30H52S,359.1862,C22H31S2,0,8,3436533,RP
C30H52S,,C22H31S2,0,8,,RP
C30H52S,359.2767,C24H39S,0,6,4112373,RP
C30H52S,,C24H39S,0,6,,RP
C30H52S,373.1113,C21H25S3,0,10,2400215,RP
C30H52S,,C21H25S3,0,10,,RP
C30H52S,373.2018,C23H33S2,0,8,17498070,RP
C30H52S,,C23H33S2,0,8,,RP
C30H52S,373.2924,C25H41S,0,6,2582487,RP
C30H52S,,C25H41S,0,6,,RP
C30H52S,383.3672,C28H47,0.1,6,2715582,RP
C30H52S,,C28H47,0.1,6,,RP
C30H52S,387.1269,C22H27S3,0.1,10,2838452,RP
C30H52S,,C22H27S3,0.1,10,,RP
C30H52S,387.2175,C24H35S2,0,8,2039732,RP
C30H52S,,C24H35S2,0,8,,RP
C30H52S,395.3672,C29H47,0.1,7,3116958,RP
C30H52S,,C29H47,0.1,7,,RP
C30H52S,401.1426,C23H29S3,0.1,10,2488208,RP
C30H52S,,C23H29S3,0.1,10,,RP
C30H52S,401.2331,C25H37S2,0.1,8,2598800,RP
C30H52S,,C25H37S2,0.1,8,,RP
C30H52S,401.3237,C27H45S,0,6,3010447,RP
C30H52S,,C27H45S,0,6,,RP
C30H52S,411.308,C28H43S,0.1,8,2353017,RP
C30H52S,,C28H43S,0.1,8,,RP
C30H52S,415.1582,C24H31S3,0.1,10,2107249,RP
C30H52S,,C24H31S3,0.1,10,,RP
C30H52S,415.2487,C26H39S2,0.1,8,2297713,RP
C30H52S,,C26H39S2,0.1,8,,RP
C30H52S,415.3393,C28H47S,0,6,3452785,RP
C30H52S,,C28H47S,0,6,,RP
C30H52S,427.3393,C29H47S,0,7,4296543,RP
C30H52S,,C29H47S,0,7,,RP
C30H52S,429.2644,C27H41S2,0.1,8,4288350,RP
C30H52S,,C27H41S2,0.1,8,,RP
C30H52S,429.3549,C29H49S,0,6,19234654,RP
C30H52S,,C29H49S,0,6,,RP
C30H52S,444.1068,C24H28S4,0,11.5,2705243,RP
C30H52S,,C24H28S4,0,11.5,,RP
C30H52S,444.1974,C26H36S3,0,9.5,10157915,RP
C30H52S,,C26H36S3,0,9.5,,RP
C30H52S,444.2879,C28H44S2,0,7.5,19824476,RP
C30H52S,,C28H44S2,0,7.5,,RP
C30H52S,444.3784,C30H52S,0.1,5.5,13188955,RP
C30H52S,,C30H52S,0.1,5.5,,RP
C27H46S,277.1079,C16H21S2,0,7,2674623,JH
C27H46S,,C16H21S2,0,7,,JH
C27H46S,331.2454,C22H35S,0,6,5075165,JH
C27H46S,,C22H35S,0,6,,JH
C27H46S,345.08,C19H21S3,-0.1,10,2261276,JH
C27H46S,,C19H21S3,-0.1,10,,JH
C27H46S,345.2611,C23H37S,0,6,1646877,JH
C27H46S,,C23H37S,0,6,,JH
C27H46S,359.0956,C20H23S3,0,10,1737021,JH
C27H46S,,C20H23S3,0,10,,JH
C27H46S,359.1862,C22H31S2,-0.1,8,2021693,JH
C27H46S,,C22H31S2,-0.1,8,,JH
C27H46S,359.2767,C24H39S,0,6,2081085,JH
C27H46S,,C24H39S,0,6,,JH
C27H46S,373.1113,C21H25S3,0,10,1816880,JH
C27H46S,,C21H25S3,0,10,,JH
C27H46S,387.2175,C24H35S2,-0.1,8,1933551,JH
C27H46S,,C24H35S2,-0.1,8,,JH
C27H46S,387.308,C26H43S,0,6,5112047,JH
C27H46S,,C26H43S,0,6,,JH
