Target,Meas. m/z,Ion Formula,err [ppm],rdb,I,Oil
C56H92S2,369.3516,C27H45,0,6,5225795,RP
C56H92S2,,C27H45,0,6,,RP
C56H92S2,383.3673,C28H47,-0.1,6,2649457,RP
C56H92S2,,C28H47,-0.1,6,,RP
C56H92S2,429.3549,C29H49S,0,6,2174842,RP
C56H92S2,,C29H49S,0,6,,RP
C56H92S2,743.5618,C50H79S2,-0.1,12,39059200,RP
C56H92S2,,C50H79S2,-0.1,12,,RP
C56H92S2,757.5775,C51H81S2,-0.1,12,23625634,RP
C56H92S2,,C51H81S2,-0.1,12,,RP
C56H92S2,771.593,C52H83S2,0,12,4096081,RP
C56H92S2,,C52H83S2,0,12,,RP
C56H92S2,795.5965,C51H87S3,-0.1,9,2711885,RP
C56H92S2,,C51H87S3,-0.1,9,,RP
C56H92S2,795.6872,C53H95S2,-0.3,7,2912590,RP
C56H92S2,,C53H95S2,-0.3,7,,RP
C56H92S2,813.6401,C55H89S2,-0.1,12,5579154,RP
C56H92S2,,C55H89S2,-0.1,12,,RP
C56H92S2,828.4824,C52H76S4,0,15.5,16548168,RP
C56H92S2,,C52H76S4,0,15.5,,RP
C56H92S2,828.5729,C54H84S3,0.1,13.5,13664584,RP
C56H92S2,,C54H84S3,0.1,13.5,,RP
C56H92S2,828.5766,C51H88S4,-0.3,8.5,5292360,RP
C56H92S2,,C51H88S4,-0.3,8.5,,RP
C56H92S2,828.6634,C56H92S2,0.1,11.5,19235142,RP
C56H92S2,,C56H92S2,0.1,11.5,,RP
C57H94S2,341.2298,C23H33S,0,8,2129750,RP
C57H94S2,,C23H33S,0,8,,RP
C57H94S2,383.3672,C28H47,0,6,3813187,RP
C57H94S2,,C28H47,0,6,,RP
C57H94S2,397.3829,C29H49,0,6,4304739,RP
C57H94S2,,C29H49,0,6,,RP
C57H94S2,707.5651,C44H83S3,0,4,2702997,RP
C57H94S2,,C44H83S3,0,4,,RP
C57H94S2,757.5775,C51H81S2,-0.1,12,26869752,RP
C57H94S2,,C51H81S2,-0.1,12,,RP
C57H94S2,771.5931,C52H83S2,0,12,26869846,RP
C57H94S2,,C52H83S2,0,12,,RP
C57H94S2,809.6121,C52H89S3,0,9,2605157,RP
C57H94S2,,C52H89S3,0,9,,RP
C57H94S2,827.6558,C56H91S2,-0.1,12,4980635,RP
C57H94S2,,C56H91S2,-0.1,12,,RP
C57H94S2,842.4981,C53H78S4,0,15.5,21757572,RP
C57H94S2,,C53H78S4,0,15.5,,RP
C57H94S2,842.5886,C55H86S3,0.1,13.5,13139586,RP
C57H94S2,,C55H86S3,0.1,13.5,,RP
C57H94S2,842.5924,C52H90S4,-0.5,8.5,4324995,RP
C57H94S2,,C52H90S4,-0.5,8.5,,RP
C57H94S2,842.6791,C57H94S2,0,11.5,15629953,RP
C57H94S2,,C57H94S2,0,11.5,,RP
